Age,Gender,ImpComercial,ImpSomeonesHouse,ImpWhenCook,Cluster
27,1,4,3,5,2
24,1,5,4,3,0
27,1,5,4,5,4
28,1,5,4,3,0
22,1,4,4,4,0
26,1,5,4,4,0
29,1,5,4,5,4
24,1,5,3,5,0
33,1,5,4,4,0
26,1,5,4,4,0
35,1,5,4,5,4
36,1,5,5,5,4
17,1,5,4,4,0
35,1,4,3,4,2
23,0,5,4,4,1
29,1,5,5,4,4
23,1,5,4,5,4
36,1,5,5,5,4
20,1,5,4,4,0
23,0,5,4,5,1
13,1,5,5,4,4
30,1,5,3,5,0
39,1,5,4,5,3
23,1,5,3,3,0
38,1,5,5,5,4
35,1,5,5,5,4
20,1,4,4,5,4
29,1,5,5,5,4
22,1,4,4,5,4
24,1,5,5,5,4
24,1,5,4,4,0
24,1,4,3,4,2
27,1,5,4,4,0
31,1,5,4,4,0
25,1,4,4,5,4
37,1,4,4,4,3
39,1,5,4,4,3
23,1,4,4,4,0
21,1,5,4,5,4
40,1,5,4,4,3
25,1,4,5,5,4
25,1,5,5,5,4
20,1,5,4,5,4
24,1,3,3,3,2
58,0,5,5,5,1
59,0,3,3,4,1
36,1,5,4,4,0
22,1,5,4,5,4
44,1,5,4,4,3
29,1,5,4,4,0
24,1,3,3,5,2
24,1,4,4,5,4
19,1,5,5,4,4
24,1,4,3,4,2
26,1,5,4,4,0
23,1,5,4,3,0
38,1,5,3,4,0
37,1,5,5,5,4
38,1,5,3,4,0
39,1,4,4,5,3
31,1,5,5,4,4
20,1,5,5,5,4
39,1,5,3,3,0
30,1,5,4,4,0
37,1,4,4,4,3
29,1,5,4,4,0
47,1,5,4,5,3
25,1,5,4,5,4
15,1,5,2,4,0
26,1,1,1,2,2
25,1,5,4,5,4
22,1,1,3,3,2
21,1,5,3,4,0
21,1,5,4,4,0
24,0,4,4,4,1
19,1,5,4,4,0
37,1,5,5,5,4
26,1,5,5,4,4
23,1,4,4,3,0
23,1,5,5,5,4
30,1,5,5,4,4
26,1,5,4,4,0
31,1,1,2,4,2
24,1,5,5,5,4
30,0,4,3,4,1
37,1,5,5,5,4
23,1,4,2,3,2
27,1,5,4,4,0
34,1,5,5,5,4
28,1,5,3,4,0
26,1,5,5,3,0
